Timestamp;User_X;User_Y;User_Z;Obj_X;Obj_Y;Obj_Z;Rel_Dist
13,691;-2,3709;1,1176;-1,9406;0,0000;-852,2330;1,2000;853,3597
13,744;-2,3422;1,1176;-2,0090;0,0000;-860,0142;1,2000;861,1410
13,795;-2,3136;1,1176;-2,0762;0,0000;-865,2214;1,2000;866,3483
13,846;-2,2860;1,1176;-2,1404;0,0000;-873,0615;1,2000;874,1885
13,896;-2,2865;1,1176;-2,1963;0,0000;-878,3078;1,2000;879,4349
13,949;-2,3059;1,1176;-2,2448;0,0000;-886,2068;1,2000;887,3341
14,001;-2,3251;1,1176;-2,2929;0,0000;-894,1411;1,2000;895,2685
14,054;-2,3400;1,1176;-2,3421;0,0000;-899,4502;1,2000;900,5778
14,108;-2,3091;1,1176;-2,4138;0,0000;-907,4434;1,2000;908,5711
14,158;-2,2805;1,1176;-2,4793;0,0000;-912,7917;1,2000;913,9196
14,210;-2,2507;1,1176;-2,5468;0,0000;-920,8438;1,2000;921,9717
14,260;-2,2215;1,1176;-2,6130;0,0000;-928,9311;1,2000;930,0592
14,313;-2,1915;1,1176;-2,6811;0,0000;-934,3422;1,2000;935,4705
14,365;-2,1618;1,1176;-2,7483;0,0000;-942,4884;1,2000;943,6168
14,416;-2,1332;1,1176;-2,8132;0,0000;-947,9388;1,2000;949,0673
14,466;-2,1046;1,1176;-2,8781;0,0000;-956,1439;1,2000;957,2725
14,518;-2,0749;1,1176;-2,9454;0,0000;-961,6335;1,2000;962,7623
14,570;-2,0449;1,1176;-3,0133;0,0000;-969,8974;1,2000;971,0263
14,620;-2,0161;1,1176;-3,0788;0,0000;-978,1966;1,2000;979,3256
14,671;-1,9742;1,1176;-3,1089;0,0000;-983,7490;1,2000;984,8781
14,723;-1,9452;1,1176;-3,1201;0,0000;-992,1071;1,2000;993,2360
14,774;-1,9452;1,1176;-3,1201;0,0000;-997,6987;1,2000;998,8276
14,825;-1,9452;1,1176;-3,1201;0,0000;-1006,1160;1,2000;1007,2440
14,876;-1,9452;1,1176;-3,1201;0,0000;-1011,7470;1,2000;1012,8750
14,927;-1,9452;1,1176;-3,1201;0,0000;-1020,2220;1,2000;1021,3510
14,978;-1,9452;1,1176;-3,1201;0,0000;-1025,8920;1,2000;1027,0210
15,029;-1,9452;1,1176;-3,1201;0,0000;-1034,4270;1,2000;1035,5550
15,081;-1,9452;1,1176;-3,1201;0,0000;-1042,9970;1,2000;1044,1250
15,132;-1,9452;1,1176;-3,1201;0,0000;-1048,7300;1,2000;1049,8580
15,182;-1,9452;1,1176;-3,1201;0,0000;-1057,3590;1,2000;1058,4870
15,234;-1,9452;1,1176;-3,1201;0,0000;-1063,1310;1,2000;1064,2590
15,284;-1,9452;1,1176;-3,1201;0,0000;-1071,8190;1,2000;1072,9470
15,334;-1,9452;1,1176;-3,1201;0,0000;-1077,6300;1,2000;1078,7580
15,387;-1,9452;1,1176;-3,1201;0,0000;-1086,3770;1,2000;1087,5050
