Timestamp;Head_X;Head_Y;Head_Z;Head_RotX;Head_RotY;Head_RotZ;Hand_X;Hand_Y;Hand_Z;Hand_RotX;Hand_RotY;Hand_RotZ
11,561;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,582;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,601;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,624;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,642;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,661;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,680;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,703;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,721;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,742;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,762;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,780;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,800;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,822;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,842;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,861;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,881;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,901;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,922;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,941;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,962;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
11,980;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,002;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,021;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
12,043;-3,2731;1,1176;-0,8770;10,4000;68,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
